Feature Category,Feature Type,Northing,Easting,Elevation,Condition,Activated,Corridor ID
Roadway,EP,200419.7882,1032065.598,38.0018,0,1,0
Roadway,EP,200420.1192,1032063.347,38.0216,0,1,0
Roadway,EP,200420.1662,1032063.026,37.9843,0,1,0
Roadway,EP,200420.2262,1032062.618,37.7137,0,1,0
Roadway,EP,200420.2405,1032062.521,37.6608,0,1,0
Roadway,EP,200420.3902,1032061.503,37.6807,0,1,0
Roadway,EP,200420.4365,1032061.188,37.6867,0,1,0
Roadway,EP,200420.6747,1032059.566,37.7779,0,1,0
Roadway,EP,200421.1293,1032056.242,37.965,0,1,0
Roadway,EP,200422.0712,1032049.353,38.3472,0,1,0
Roadway,EP,200422.5339,1032045.969,38.5261,0,1,0
Roadway,EP,200423.7056,1032037.4,38.9826,0,1,0
Roadway,EP,200423.7294,1032037.226,38.992,0,1,0
Roadway,EP,200423.8891,1032036.058,39.0517,0,1,0
Roadway,EP,200424.0589,1032034.816,39.1154,0,1,0
Roadway,EP,200425.6406,1032023.438,39.6985,0,1,0
Roadway,EP,200426.5955,1032016.569,40.0333,0,1,0
Roadway,EP,200427.7713,1032008.112,40.4665,0,1,0
Roadway,EP,200427.8631,1032007.452,40.6198,0,1,0
Roadway,EP,200427.9052,1032007.149,40.7055,0,1,0
Roadway,EP,200428.5507,1032002.505,40.9942,0,1,0
Roadway,EP,200428.7142,1032001.329,41.0859,0,1,0
Roadway,EP,200428.8189,1032000.576,43.9134,0,1,0
Roadway,EP,200428.842,1032000.41,44.5081,0,1,0
Roadway,EP,200428.93,1031999.777,41.4821,0,1,0
Roadway,EP,200428.9732,1031999.467,39.6702,0,1,0
Roadway,EP,200429.0845,1031998.666,34.8498,0,1,0
Roadway,EP,200429.2227,1031997.672,28.2092,0,1,0
Roadway,EP,200476.535,1034088.171,66.9094,1,1,0
Roadway,EP,200476.6929,1034087.714,66.9066,0,1,0
Roadway,EP,200477.2309,1034086.079,66.8963,0,1,0
